Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,Notes
IFNG_2,IFNGR_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MSM). Original note: ligand-receptor binding"
IFNG,IFNGR_2,positive,MX,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MX). Original note: ligand-receptor binding"
IFNG_2,IFNGR,positive,MX,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MX). Original note: ligand-receptor binding"
IFNG_2,IFNGR_2,positive,MX,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=MX). Original note: ligand-receptor binding"
IFNG,IFNGR_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=N10). Original note: ligand-receptor binding"
IFNG_2,IFNGR,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=N10). Original note: ligand-receptor binding"
IFNG_2,IFNGR_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=N10). Original note: ligand-receptor binding"
IFNG,IFNGR_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=P18). Original note: ligand-receptor binding"
IFNG_2,IFNGR,positive,P18,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=P18). Original note: ligand-receptor binding"
IFNG_2,IFNGR_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IFNG -> IFNGR, Model=P18). Original note: ligand-receptor binding"
IFNG_2,IL10,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IL10, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1"
IFNG_2,IL2,negative,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IL2, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1, TBET"
IFNG_2,IL21,negative,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IL21, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1, TBET"
IFNG_2,IL4,negative,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IL4, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1, TBET"
IFNG_2,IL9,negative,MS15,2,,indirect,"Duplicated from original edge (IFNG -> IL9, Model=MS15). Original note: causal effect, mediated by IFNGR, STAT1, TBET"
IFNG_2,STAT6,negative,P18,2,,indirect,"Duplicated from original edge (IFNG -> STAT6, Model=P18). Original note: causal effect, mediated by IFNGR, STAT1, SOCS1"
IFNG,TBET_2,negative,P18,-,,wrong,"Duplicated from original edge (IFNG -> TBET, Model=P18). Original note: assumption, contradicted by known positive feedback loop of IFNG and TBET"
IFNG_2,TBET,negative,P18,-,,wrong,"Duplicated from original edge (IFNG -> TBET, Model=P18). Original note: assumption, contradicted by known positive feedback loop of IFNG and TBET"
IFNG_2,TBET_2,negative,P18,-,,wrong,"Duplicated from original edge (IFNG -> TBET, Model=P18). Original note: assumption, contradicted by known positive feedback loop of IFNG and TBET"
IFNG,TBET_2,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG -> TBET, Model=MS15). Original note: causal effect, IFNG->IFNGR->STAT1->TBET"
IFNG_2,TBET,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG -> TBET, Model=MS15). Original note: causal effect, IFNG->IFNGR->STAT1->TBET"
IFNG_2,TBET_2,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG -> TBET, Model=MS15). Original note: causal effect, IFNG->IFNGR->STAT1->TBET"
IFNG_e,IFNG_2,positive,MS15,2,,indirect,"Duplicated from original edge (IFNG_e -> IFNG, Model=MS15). Original note: causal effect, IFNG_e->IFNGR->STAT1->TBET->IFNG"
IFNG_e,IFNGR_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNG_e -> IFNGR, Model=AJ). Original note: ligand-receptor binding"
IFNG_e,IFNGR_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNG_e -> IFNGR, Model=N10). Original note: ligand-receptor binding"
IFNG_e,IFNGR_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IFNG_e -> IFNGR, Model=P18). Original note: ligand-receptor binding"
IFNGR_2,JAK1,positive,MSM,1,regulates,direct,"Duplicated from original edge (IFNGR -> JAK1, Model=MSM). Original note: protein-protein interaction. JAK1 is constitutively bound to the intracellular domain of the IFN-γ receptor complex."
IFNGR_2,JAK1,positive,MX,1,regulates,direct,"Duplicated from original edge (IFNGR -> JAK1, Model=MX). Original note: protein-protein interaction. JAK1 is constitutively bound to the intracellular domain of the IFN-γ receptor complex."
IFNGR_2,JAK1,positive,P18,1,regulates,direct,"Duplicated from original edge (IFNGR -> JAK1, Model=P18). Original note: protein-protein interaction. JAK1 is constitutively bound to the intracellular domain of the IFN-γ receptor complex."
IFNGR,STAT1_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=AJ). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or JAK2."
IFNGR_2,STAT1,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=AJ). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or JAK2."
IFNGR_2,STAT1_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=AJ). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or JAK2."
IFNGR,STAT1_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=N10). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNGR_2,STAT1,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=N10). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IFNGR_2,STAT1_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IFNGR -> STAT1, Model=N10). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IFNGR, then is phosphorylated by receptor-bound JAK1 or TYK2."
IL10,IFNG_2,negative,MS15,2,,indirect,"Duplicated from original edge (IL10 -> IFNG, Model=MS15). Original note: causal effect, mediated by IL10R, STAT3, TBET"
IL12_e,TBET_2,negative,P18,-,,wrong,"Duplicated from original edge (IL12_e -> TBET, Model=P18). Original note: spurious assumed edge, contradicted by known positive causal effect"
IL18R,IFNG_2,positive,AJ,2,,indirect,"Duplicated from original edge (IL18R -> IFNG, Model=AJ). Original note: causal effect, IL18R->IRAK->NFKB->IFNG"
IL2,IL2R_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IL2 -> IL2R, Model=P18). Original note: ligand-receptor binding"
IL2_e,IL2R_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL2_e -> IL2R, Model=MSM). Original note: ligand-receptor binding"
IL21,IFNG_2,negative,MS15,3,,correlation,"Duplicated from original edge (IL21 -> IFNG, Model=MS15). Original note: IL-21 promotes the Tfh program, which is associated with lower IFN-γ production than Th1 cells. However, this reflects a lineage shift rather than a direct inhibitory signaling pathway."
IL21,TBET_2,negative,MS15,-,,wrong,"Duplicated from original edge (IL21 -> TBET, Model=MS15). Original note: No causal effect or correlation is documented"
IL27_e,STAT1_2,positive,P18,2,,indirect,"Duplicated from original edge (IL27_e -> STAT1, Model=P18). Original note: causal effect mediated by IL27R"
IL27R,STAT1_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IL27R -> STAT1, Model=AJ). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IL27R, then is phosphorylated by receptor-bound JAK1, JAK2, or TYK2."
IL27R,STAT1_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL27R -> STAT1, Model=MSM). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IL27R, then is phosphorylated by receptor-bound JAK1, JAK2, or TYK2."
IL27R,STAT1_2,positive,N10,1,regulates,direct,"Duplicated from original edge (IL27R -> STAT1, Model=N10). Original note: STAT1 directly docks onto phosphorylated tyrosines in the intracellular domain of IL27R, then is phosphorylated by receptor-bound JAK1, JAK2, or TYK2."
IL2R,STAT5_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=MSM). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL2R_2,STAT5,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=MSM). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL2R_2,STAT5_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=MSM). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL2R,STAT5_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=P18). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL2R_2,STAT5,positive,P18,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=P18). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL2R_2,STAT5_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IL2R -> STAT5, Model=P18). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL2R, then is phosphorylated by receptor-bound JAK1 or JAK3."
IL36R,TBET_2,positive,AJ,2,,indirect,"Duplicated from original edge (IL36R -> TBET, Model=AJ). Original note: This causal effect is mediated by IRAK, MAPK signaling, NFKB"
IL4,IFNG_2,negative,MS15,2,,indirect,"Duplicated from original edge (IL4 -> IFNG, Model=MS15). Original note: causal effect, IL4->IL4R->STAT6->GATA3-|IFNG"
IL4,IL4R_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IL4 -> IL4R, Model=AJ). Original note: ligand-receptor binding"
IL4,IL4R_2,positive,M06,1,regulates,direct,"Duplicated from original edge (IL4 -> IL4R, Model=M06). Original note: ligand-receptor binding"
IL4,IL4R_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL4 -> IL4R, Model=MSM). Original note: ligand-receptor binding"
IL4,IL4R_2,positive,MX,1,regulates,direct,"Duplicated from original edge (IL4 -> IL4R, Model=MX). Original note: ligand-receptor binding"
IL4,IL4R_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IL4 -> IL4R, Model=P18). Original note: ligand-receptor binding"
IL4,TBET_2,negative,MS15,2,,indirect,"Duplicated from original edge (IL4 -> TBET, Model=MS15). Original note: causal effect, mediated by IL4R, STAT6 or STAT5, GATA3"
IL4_e,IL4R_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (IL4_e -> IL4R, Model=AJ). Original note: ligand-receptor binding"
IL4_e,IL4R_2,positive,P18,1,regulates,direct,"Duplicated from original edge (IL4_e -> IL4R, Model=P18). Original note: ligand-receptor binding"
IL4R_2,STAT6,positive,AJ,1,regulates,direct,"Duplicated from original edge (IL4R -> STAT6, Model=AJ). Original note: STAT6 directly docks onto phosphorylated tyrosines in the intracellular domain of IL4R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL4R_2,STAT6,positive,M06,1,regulates,direct,"Duplicated from original edge (IL4R -> STAT6, Model=M06). Original note: STAT6 directly docks onto phosphorylated tyrosines in the intracellular domain of IL4R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL4R_2,STAT6,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL4R -> STAT6, Model=MSM). Original note: STAT6 directly docks onto phosphorylated tyrosines in the intracellular domain of IL4R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL4R_2,STAT6,positive,MX,1,regulates,direct,"Duplicated from original edge (IL4R -> STAT6, Model=MX). Original note: STAT6 directly docks onto phosphorylated tyrosines in the intracellular domain of IL4R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL4R_2,STAT6,positive,P18,1,regulates,direct,"Duplicated from original edge (IL4R -> STAT6, Model=P18). Original note: STAT6 directly docks onto phosphorylated tyrosines in the intracellular domain of IL4R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL7R,STAT5_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (IL7R -> STAT5, Model=MSM). Original note: STAT5 directly docks onto phosphorylated tyrosines in the intracellular domain of IL7R, then is phosphorylated by receptor-bound JAK1 or JAK3. "
IL9,IFNG_2,negative,MS15,3,,correlation,"Duplicated from original edge (IL9 -> IFNG, Model=MS15). Original note: The apparent antagonism between IL-9 and IFN-γ is better explained by lineage specification between Th9 and Th1 cells"
IL9,TBET_2,negative,MS15,3,,correlation,"Duplicated from original edge (IL9 -> TBET, Model=MS15). Original note: The apparent negative relationship between IL-9 and T-bet is largely explained by lineage differences between Th9 and Th1 cells."
IRAK,IFNG_2,positive,MSM,2,,indirect,"Duplicated from original edge (IRAK -> IFNG, Model=MSM). Original note: causal effect. The direct target of IRAK is TRAF6, which affects NFKB, IRAK->NFKB->IFNG"
IRAK,IFNG_2,positive,MX,2,,indirect,"Duplicated from original edge (IRAK -> IFNG, Model=MX). Original note: causal effect. The direct target of IRAK is TRAF6, which affects NFKB, IRAK->NFKB->IFNG"
JAK1,STAT1_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (JAK1 -> STAT1, Model=MSM). Original note: protein-protein interaction. Activated JAK1 physically engages and phosphorylates STAT1, although this occurs within a cytokine-receptor complex."
JAK1,STAT1_2,positive,MX,1,regulates,direct,"Duplicated from original edge (JAK1 -> STAT1, Model=MX). Original note: protein-protein interaction. Activated JAK1 physically engages and phosphorylates STAT1, although this occurs within a cytokine-receptor complex."
JAK1,STAT1_2,positive,P18,1,regulates,direct,"Duplicated from original edge (JAK1 -> STAT1, Model=P18). Original note: protein-protein interaction. Activated JAK1 physically engages and phosphorylates STAT1, although this occurs within a cytokine-receptor complex."
NFAT,IFNG_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (NFAT -> IFNG, Model=AJ). Original note: NFAT binds regulatory elements of the IFNG locus and activates transcription."
NFAT,IFNG_2,positive,MX,1,regulates,direct,"Duplicated from original edge (NFAT -> IFNG, Model=MX). Original note: NFAT binds regulatory elements of the IFNG locus and activates transcription."
NFAT,IFNG_2,positive,N10,1,regulates,direct,"Duplicated from original edge (NFAT -> IFNG, Model=N10). Original note: NFAT binds regulatory elements of the IFNG locus and activates transcription."
NFAT,IFNG_2,positive,P18,1,regulates,direct,"Duplicated from original edge (NFAT -> IFNG, Model=P18). Original note: NFAT binds regulatory elements of the IFNG locus and activates transcription."
NFAT,IFNGR_2,positive,P18,2,,indirect,"Duplicated from original edge (NFAT -> IFNGR, Model=P18). Original note: causal effect, NFAT->IFNG->IFNGR"
NFAT,IL2R_2,positive,P18,2,,indirect,"Duplicated from original edge (NFAT -> IL2R, Model=P18). Original note: NFAT binds regulatory elements of the IL2RA gene, which encodes one of two subchains of IL2R, and contributes directly to its transcription. "
NFAT,STAT1_2,positive,P18,2,,indirect,"Duplicated from original edge (NFAT -> STAT1, Model=P18). Original note: causal effect, NFAT->IFNG->IFNGR->STAT1"
NFKB,IFNG_2,positive,P18,1,regulates,direct,"Duplicated from original edge (NFKB -> IFNG, Model=P18). Original note: NFκB-family factors bind regulatory elements of the Ifng locus and cooperates with STAT4/TBET to regulate IFNG transcription"
proliferation,IFNG_2,positive,AJ,4,,assumption,"Duplicated from original edge (proliferation -> IFNG, Model=AJ). Original note: Circumstantial evidence supporting this assumption is that many cytokines, especially lineage-defining ones, are acquired progressively over several cell divisions."
proliferation,IFNG_2,positive,N10,4,,assumption,"Duplicated from original edge (proliferation -> IFNG, Model=N10). Original note: Circumstantial evidence supporting this assumption is that many cytokines, especially lineage-defining ones, are acquired progressively over several cell divisions."
RORGT,TBET_2,negative,AJ,3,,correlation,"Duplicated from original edge (RORGT -> TBET, Model=AJ). Original note: lineage level antagonism, mechanism & mediators unknown"
RORGT,TBET_2,negative,MSM,3,,correlation,"Duplicated from original edge (RORGT -> TBET, Model=MSM). Original note: lineage level antagonism, mechanism & mediators unknown"
RORGT,TBET_2,negative,P18,3,,correlation,"Duplicated from original edge (RORGT -> TBET, Model=P18). Original note: lineage level antagonism, mechanism & mediators unknown"
RUNX3,IFNG_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (RUNX3 -> IFNG, Model=AJ). Original note: indicated as ""binding and functional data"". RUNX3 binds regulatory regions of the Ifng locus and promotes transcription, usually in cooperation with T-bet"
RUNX3,IFNG_2,positive,N10,1,regulates,direct,"Duplicated from original edge (RUNX3 -> IFNG, Model=N10). Original note: RUNX3 binds regulatory regions of the Ifng locus and promotes transcription, usually in cooperation with T-bet"
SOCS1,IL4R_2,negative,M06,-,,wrong,"Duplicated from original edge (SOCS1 -> IL4R, Model=M06). Original note: Unsupported assumption. SOCS1 strongly reduces IL-4-induced JAK1 and STAT6 activation, thereby suppressing IL-4 responses. But it does not affect IL4R itself."
SOCS1,IL4R_2,negative,MSM,-,,wrong,"Duplicated from original edge (SOCS1 -> IL4R, Model=MSM). Original note: Unsupported assumption. SOCS1 strongly reduces IL-4-induced JAK1 and STAT6 activation, thereby suppressing IL-4 responses. But it does not affect IL4R itself."
SOCS1,IL4R_2,negative,MX,-,,wrong,"Duplicated from original edge (SOCS1 -> IL4R, Model=MX). Original note: Unsupported assumption. SOCS1 strongly reduces IL-4-induced JAK1 and STAT6 activation, thereby suppressing IL-4 responses. But it does not affect IL4R itself."
SOCS1,IL4R_2,negative,P18,-,,wrong,"Duplicated from original edge (SOCS1 -> IL4R, Model=P18). Original note: Unsupported assumption. SOCS1 strongly reduces IL-4-induced JAK1 and STAT6 activation, thereby suppressing IL-4 responses. But it does not affect IL4R itself."
SOCS1,STAT5_2,negative,MSM,1,regulates,direct,"Duplicated from original edge (SOCS1 -> STAT5, Model=MSM). Original note: SOCS1 binds activated JAK1, JAK2, and/or TYK2, and inhibits JAK-STAT signaling"
STAT1_2,BCL6,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT1 -> BCL6, Model=AJ). Original note: STAT1 binds directly to the Bcl6 promoter and activates Bcl6 transcription"
STAT1_2,FOXP3,negative,AJ,2,,indirect,"Duplicated from original edge (STAT1 -> FOXP3, Model=AJ). Original note: causal effect, mediated by TBET or, in parallel, IRF1"
STAT1_2,FOXP3,negative,N10,2,,indirect,"Duplicated from original edge (STAT1 -> FOXP3, Model=N10). Original note: causal effect, mediated by TBET or, in parallel, IRF1"
STAT1_2,IL17,negative,AJ,2,,indirect,"Duplicated from original edge (STAT1 -> IL17, Model=AJ). Original note: causal effect, mediated by TBET and RORGT"
STAT1_2,IL17,negative,N10,2,,indirect,"Duplicated from original edge (STAT1 -> IL17, Model=N10). Original note: causal effect, mediated by TBET and RORGT"
STAT1_2,IL17,negative,P18,2,,indirect,"Duplicated from original edge (STAT1 -> IL17, Model=P18). Original note: causal effect, mediated by TBET and RORGT"
STAT1_2,IL22,positive,AJ,-,,wrong,"Duplicated from original edge (STAT1 -> IL22, Model=AJ). Original note: unsupported assumption. contradicts experimental evidence that STAT1 binds to the IL22 region  and antagonizes STAT3, repressing IL22 transcription"
STAT1_2,IL4,negative,MSM,2,,indirect,"Duplicated from original edge (STAT1 -> IL4, Model=MSM). Original note: causal effect, mediated byTBET"
STAT1_2,IL4,negative,MX,2,,indirect,"Duplicated from original edge (STAT1 -> IL4, Model=MX). Original note: causal effect, mediated byTBET"
STAT1_2,IL4,negative,P18,2,,indirect,"Duplicated from original edge (STAT1 -> IL4, Model=P18). Original note: causal effect, mediated byTBET"
STAT1_2,IRF1,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT1 -> IRF1, Model=AJ). Original note: IRF1 is a canonical target of STAT1. STAT1 binds directly to regulatory elements in the IRF1 promoter and activates transcription."
STAT1_2,IRF1,positive,N10,1,regulates,direct,"Duplicated from original edge (STAT1 -> IRF1, Model=N10). Original note: IRF1 is a canonical target of STAT1. STAT1 binds directly to regulatory elements in the IRF1 promoter and activates transcription."
STAT1_2,SOCS1,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT1 -> SOCS1, Model=MSM). Original note: STAT1 directly occupies the SOCS1 promoter/enhancer following IFN-γ stimulation, although IRF1 also plays an important role in full transcriptional activation."
STAT1_2,SOCS1,positive,MX,1,regulates,direct,"Duplicated from original edge (STAT1 -> SOCS1, Model=MX). Original note: STAT1 directly occupies the SOCS1 promoter/enhancer following IFN-γ stimulation, although IRF1 also plays an important role in full transcriptional activation."
STAT1_2,SOCS1,positive,P18,1,regulates,direct,"Duplicated from original edge (STAT1 -> SOCS1, Model=P18). Original note: STAT1 directly occupies the SOCS1 promoter/enhancer following IFN-γ stimulation, although IRF1 also plays an important role in full transcriptional activation."
STAT1,TBET_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=AJ). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=AJ). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET_2,positive,AJ,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=AJ). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1,TBET_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MSM). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MSM). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET_2,positive,MSM,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MSM). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1,TBET_2,positive,MX,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MX). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET,positive,MX,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MX). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
STAT1_2,TBET_2,positive,MX,1,regulates,direct,"Duplicated from original edge (STAT1 -> TBET, Model=MX). Original note: STAT1 activates the transcription of  TBX21 (TBET)."
