Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
IL4,IL9,positive,MS15,2,,indirect,TAKEN_OUT
IL4,TBET,negative,MS15,2,,indirect,TAKEN_OUT
IL4,TBET_2,negative,MS15,2,,indirect,TAKEN_OUT
IL4R,IL4R_2,positive,N10,0,necessary,,KEPT
IL4R,STAT5,positive,N10,1,regulates,direct,KEPT
IL4R,STAT5_2,positive,N10,1,regulates,direct,KEPT
IL4R,STAT6,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
IL4RA_2,IL4R_2,positive,N10,0,regulates,direct,KEPT
IL4R_2,STAT5_2,positive,N10,1,regulates,direct,KEPT
IL4R_2,STAT6,positive,"AJ, M06, MSM, MX, P18",1,regulates,direct,KEPT
IL4_e,IL4,positive,MS15,2,,indirect,TAKEN_OUT
IL4_e,IL4R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL4_e,IL4R_2,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL6,IL6R,positive,"AJ, MSM, P18",1,regulates,direct,KEPT
IL6R,FOXP3,negative,P18,2,,indirect,TAKEN_OUT
IL6R,RORGT,positive,P18,2,,indirect,TAKEN_OUT
IL6R,STAT3,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL6_e,IL6R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
IL7R,STAT5,positive,MSM,1,regulates,direct,KEPT
IL7R,STAT5_2,positive,MSM,1,regulates,direct,KEPT
IL7_e,IL7R,positive,MSM,1,regulates,direct,KEPT
IL9,IFNG,negative,MS15,3,,correlation,KEPT
IL9,IFNG_2,negative,MS15,3,,correlation,KEPT
IL9,TBET,negative,MS15,3,,correlation,KEPT
IL9,TBET_2,negative,MS15,3,,correlation,KEPT
IRAK,IFNG,positive,"MSM, MX",2,,indirect,KEPT
IRAK,IFNG_2,positive,"M06, MSM, MX",2,,indirect,KEPT
IRAK,NFKB,positive,P18,2,,indirect,KEPT
IRF1,IL10,positive,AJ,1,regulates,direct,KEPT
IRF1,IL12RB1_2,positive,N10,1,regulates,direct,KEPT
IRF1,IL4,negative,"AJ, N10",1,regulates,direct,KEPT
JAK1,STAT1,positive,"MSM, MX, P18",1,regulates,direct,KEPT
JAK1,STAT1_2,positive,"MSM, MX, P18",1,regulates,direct,KEPT
JAK3,STAT3,positive,MSM,1,regulates,direct,KEPT
NFAT,FOXP3,positive,"AJ, N10",1,regulates,direct,KEPT
NFAT,GATA3,positive,P18,1,regulates,direct,KEPT
NFAT,IFNG,positive,"AJ, MX, N10, P18",1,regulates,direct,KEPT
NFAT,IFNGR,positive,P18,2,,indirect,TAKEN_OUT
NFAT,IFNGR_2,positive,P18,2,,indirect,TAKEN_OUT
NFAT,IFNG_2,positive,"AJ, MX, N10, P18",1,regulates,direct,KEPT
NFAT,IL10,positive,"AJ, N10",1,regulates,direct,KEPT
NFAT,IL13,positive,AJ,1,regulates,direct,KEPT
NFAT,IL17,positive,"AJ, N10",1,regulates,direct,KEPT
NFAT,IL2,positive,"AJ, N10, P18",1,necessary,direct,KEPT
NFAT,IL21,positive,"AJ, N10, P18",1,necessary,direct,KEPT
NFAT,IL22,positive,AJ,1,regulates,direct,KEPT
NFAT,IL24,positive,AJ,4,,assumption,TAKEN_OUT
NFAT,IL2R,positive,P18,2,,indirect,TAKEN_OUT
NFAT,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
NFAT,IL2R_2,positive,P18,2,,indirect,TAKEN_OUT
NFAT,IL3,positive,AJ,1,regulates,direct,KEPT
NFAT,IL31,positive,AJ,1,regulates,direct,KEPT
NFAT,IL4,positive,"AJ, N10, P18",1,necessary,direct,KEPT
NFAT,IL5,positive,AJ,1,regulates,direct,KEPT
NFAT,IL9,positive,AJ,1,regulates,direct,KEPT
NFAT,STAT1,positive,P18,2,,indirect,TAKEN_OUT
NFAT,STAT1_2,positive,P18,2,,indirect,TAKEN_OUT
NFAT,TGFB,positive,"AJ, N10",1,regulates,direct,KEPT
NFAT,TGFBR,positive,P18,2,,indirect,TAKEN_OUT
NFKB,IFNG,positive,P18,1,regulates,direct,KEPT
NFKB,IFNG_2,positive,P18,1,regulates,direct,KEPT
NFKB,IL17,positive,"AJ, N10",1,regulates,direct,KEPT
NFKB,IL2,positive,"AJ, N10, P18",1,regulates,direct,KEPT
NFKB,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
NFKB,IL9,positive,AJ,1,regulates,direct,KEPT
NOTCH1,CD4,positive,MSM,2,,indirect,KEPT
NOTCH1,CD8,positive,MSM,2,,indirect,KEPT
PU1,GATA3,negative,AJ,1,regulates,direct,KEPT
PU1,IL9,positive,AJ,1,regulates,direct,KEPT
RORGT,IL17,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
RORGT,IL21,positive,MS15,3,,correlation,TAKEN_OUT
RORGT,IL23R,positive,"AJ, N10",1,regulates,direct,KEPT
RORGT,RORGT,positive,"MSM, N10",1,regulates,direct,KEPT
RORGT,TBET,negative,"AJ, MSM, P18",3,,correlation,TAKEN_OUT
RORGT,TBET_2,negative,"AJ, MSM, P18",3,,correlation,TAKEN_OUT
RUNX3,CD4,negative,MSM,1,regulates,direct,KEPT
RUNX3,CD8,positive,MSM,1,regulates,direct,KEPT
RUNX3,EOMES,positive,MSM,1,regulates,direct,KEPT
RUNX3,IFNG,positive,"AJ, N10",1,regulates,direct,KEPT
RUNX3,IFNG_2,positive,"AJ, N10",1,regulates,direct,KEPT
RUNX3,IL4,negative,"AJ, N10",1,regulates,direct,KEPT
RUNX3,RUNX3,positive,MSM,4,,assumption,TAKEN_OUT
RUNX3,THPOK,negative,MSM,1,regulates,direct,KEPT
SMAD2,FOXP3,positive,MSM,1,regulates,direct,KEPT
SMAD2,RORGT,positive,MSM,1,regulates,direct,KEPT
SMAD3,FOXP3,positive,"AJ, N10",1,regulates,direct,KEPT
SMAD3,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
SMAD3,IL9,positive,AJ,1,regulates,direct,KEPT
SOCS1,JAK1,negative,"MX, P18",1,regulates,direct,KEPT
SOCS1,STAT5,negative,MSM,1,regulates,direct,KEPT
SOCS1,STAT5_2,negative,MSM,1,regulates,direct,KEPT
SOCS1,STAT6,negative,P18,1,regulates,direct,KEPT
ST2,IL33R,positive,AJ,0,necessary,direct,KEPT
STAT1,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT1,FOXP3,negative,"AJ, N10",2,,indirect,TAKEN_OUT
STAT1,IL17,negative,"AJ, N10, P18",2,,indirect,TAKEN_OUT
STAT1,IL4,negative,"M06, MSM, MX, P18",2,,indirect,TAKEN_OUT
STAT1,IRF1,positive,"AJ, N10",1,regulates,direct,KEPT
STAT1,SOCS1,positive,"M06, MSM, MX, P18",1,regulates,direct,KEPT
STAT1,STAT1,positive,M06,1,regulates,direct,KEPT
STAT1,STAT1_2,positive,M06,0,necessary,,KEPT
STAT1,TBET,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1,TBET_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1_2,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT1_2,FOXP3,negative,"AJ, N10",2,,indirect,TAKEN_OUT
STAT1_2,IL17,negative,"AJ, N10, P18",2,,indirect,TAKEN_OUT
STAT1_2,IL4,negative,"MSM, MX, P18",2,,indirect,TAKEN_OUT
STAT1_2,IRF1,positive,"AJ, N10",1,regulates,direct,KEPT
STAT1_2,SOCS1,positive,"MSM, MX, P18",1,regulates,direct,KEPT
STAT1_2,TBET,positive,"AJ, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1_2,TBET_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT3,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT3,CMAF,positive,AJ,1,regulates,direct,KEPT
STAT3,FOXP3,negative,"AJ, MSM, N10, P18",2,,indirect,TAKEN_OUT
STAT3,IFNG,negative,"MSM, MX, N10, P18",2,,indirect,TAKEN_OUT
STAT3,IFNG_2,negative,"MSM, MX, N10, P18",2,,indirect,TAKEN_OUT
STAT3,IL10,positive,"AJ, N10",1,regulates,direct,KEPT
STAT3,IL17,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL1R1,positive,AJ,4,,assumption ,KEPT
STAT3,IL21,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL22,positive,AJ,1,regulates,direct,KEPT
STAT3,IL23,positive,N10,1,regulates,direct in the network sense,KEPT
STAT3,IL23R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL6,positive,AJ,1,regulates,direct,KEPT
STAT3,RORGT,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
STAT4,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT4,IFNG,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT4,IFNG_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT4,IL10,positive,AJ,2,,indirect,TAKEN_OUT
STAT4,IL12R,positive,P18,2,,indirect,TAKEN_OUT
STAT4,IL18R,positive,AJ,1,regulates,direct in the network sense,KEPT
STAT4,IL21,positive,AJ,1,regulates,direct,KEPT
STAT4,TBET,positive,P18,1,regulates,direct,KEPT
STAT4,TBET_2,positive,P18,1,regulates,direct,KEPT
STAT5,BCL6,negative,AJ,1,regulates,direct,KEPT
STAT5,FOXP3,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT5,GATA3,positive,P18,1,regulates,direct,KEPT
STAT5,IL17,negative,"AJ, N10, P18",1,regulates,direct,KEPT
STAT5,IL2,negative,"AJ, N10",2,,indirect,TAKEN_OUT
STAT5,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
STAT5,IL4,positive,AJ,1,regulates,direct,KEPT
STAT5,IL4RA_2,positive,N10,2,,indirect,KEPT
STAT5,RUNX3,positive,MSM,1,regulates,direct,KEPT
STAT5,STAT5_2,positive,"AJ, N10",0,necessary,,KEPT
STAT5,proliferation,positive,"AJ, N10",1,regulates,direct in the network sense,KEPT
STAT5_2,FOXP3,positive,P18,1,regulates,direct,KEPT
STAT5_2,GATA3,positive,P18,1,regulates,direct,KEPT
STAT5_2,IL17,negative,P18,1,regulates,direct,KEPT
STAT5_2,IL4RA_2,positive,N10,2,,indirect,KEPT
STAT5_2,RUNX3,positive,MSM,1,regulates,direct,KEPT
STAT5_2,proliferation,positive,"AJ, N10",1,regulates,direct in the network sense,KEPT
STAT6,FOXP3,negative,AJ,1,regulates,direct,KEPT
STAT6,GATA3,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT6,IFNG,negative,P18,2,,indirect,TAKEN_OUT
STAT6,IFNG_2,negative,P18,2,,indirect,TAKEN_OUT
STAT6,IL12R,negative,"M06, MSM",2,,indirect,TAKEN_OUT
STAT6,IL12RB2,negative,"AJ, N10",2,,indirect,KEPT
STAT6,IL17,negative,"AJ, N10",2,,indirect,TAKEN_OUT
STAT6,IL18R,negative,"M06, MSM, MX, P18",2,,indirect,TAKEN_OUT
STAT6,IL2,negative,"AJ, N10",2,,indirect,TAKEN_OUT
STAT6,IL24,positive,AJ,1,regulates,direct,KEPT
STAT6,IL31,positive,AJ,1,regulates,direct,KEPT
STAT6,IL9,positive,AJ,1,regulates,direct,KEPT
TBET,BCL6,negative,"AJ, MS15",1,regulates,direct,KEPT
TBET,FOXP3,negative,MSM,1,regulates,direct,KEPT
TBET,GATA3,negative,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IFNG,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IFNG_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IL12R,positive,P18,2,,indirect,TAKEN_OUT
TBET,IL2,negative,"AJ, N10, P18",1,regulates,direct,KEPT
TBET,IL23R,negative,P18,1,regulates,direct,KEPT
TBET,IL4,negative,"AJ, MS15, N10",1,regulates,direct,KEPT
TBET,RORGT,negative,"MS15, MSM, P18",1,regulates,direct in the network sense,KEPT
TBET,RUNX3,positive,"AJ, N10",2,,indirect,TAKEN_OUT
TBET,TBET,positive,"AJ, M06, MS15, MSM, MX, N10, P18",2,,indirect,TAKEN_OUT
TBET,TBET_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",0,necessary,,KEPT
TBET_2,BCL6,negative,"AJ, MS15",1,regulates,direct,KEPT
TBET_2,FOXP3,negative,MSM,1,regulates,direct,KEPT
TBET_2,GATA3,negative,"AJ, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IFNG,positive,"AJ, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IFNG_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IL12R,positive,P18,2,,indirect,TAKEN_OUT
TBET_2,IL2,negative,"AJ, N10, P18",1,regulates,direct,KEPT
TBET_2,IL23R,negative,P18,1,regulates,direct,KEPT
TBET_2,IL4,negative,"AJ, MS15, N10",1,regulates,direct,KEPT
TBET_2,RORGT,negative,"MS15, MSM, P18",1,regulates,direct in the network sense,KEPT
TBET_2,RUNX3,positive,"AJ, N10",2,,indirect,TAKEN_OUT
TBET_2,TBET_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",2,,indirect,TAKEN_OUT
TCR,CD8,negative,MSM,2,,indirect,TAKEN_OUT
TCR,IKB,negative,"AJ, N10",1,regulates,direct in the network sense,KEPT
TCR,IL12R,positive,P18,2,,indirect,TAKEN_OUT
TCR,IL7R,negative,MSM,1,regulates,direct in the network sense,KEPT
TCR,NFAT,positive,"AJ, MSM, MX, N10, P18",1,regulates,direct in the network sense,KEPT
