Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,is_kept
E2F_2,Proliferation_3,positive,"Z17, Z21",indirect,2,,KEPT
E2F_2,Proliferation_4,positive,Z21,indirect,2,,KEPT
E2F_2,cycE_CDK2_T,positive,"Z17, Z21",direct,1,,KEPT
E2F_3,E2F_3,positive,Z17,direct,1,regulates,KEPT
E2F_3,Proliferation,positive,Z17,indirect,2,,KEPT
E2F_3,Proliferation_2,positive,"Z17, Z21",indirect,2,,KEPT
E2F_3,Proliferation_3,positive,"Z17, Z21",indirect,2,,KEPT
E2F_3,Proliferation_4,positive,"Z17, Z21",indirect,2,,KEPT
E2F_3,cycE_CDK2_T,positive,"Z17, Z21",direct,1,,KEPT
EGF,AKT,positive,T47D,indirect,2,,TAKEN_OUT
EGF,EGFR,positive,"BS, HS, MCF7, SS, T47D, TGEN",direct,1,regulates,KEPT
EGF,ERK,positive,BS,indirect,2,,TAKEN_OUT
EGF,ERK_2,positive,BS,indirect,2,,TAKEN_OUT
EGF,HER2,positive,"BS, MCF7, TGEN",indirect,2,,TAKEN_OUT
EGF,PLCg,positive,BS,indirect,2,,TAKEN_OUT
EGFR,AKT,positive,"BL, HL, SL, T47D",indirect,2,,TAKEN_OUT
EGFR,CyclinB1,positive,BL,indirect,2,,TAKEN_OUT
EGFR,EGFR,positive,"BL, BS, HL, HS, SL, SS",direct,1,regulates,KEPT
EGFR,ERK,positive,"HL, SL",indirect,2,,TAKEN_OUT
EGFR,ERK_2,positive,"HL, SL",indirect,2,,TAKEN_OUT
EGFR,GRB2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
EGFR,HER2,positive,HS,direct,1,regulates,KEPT
EGFR,KRT14,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
EGFR,MEK,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
EGFR,MEK_2,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
EGFR,PDK1_pm,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
EGFR,PI3K,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
EGFR,PI3K_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
EGFR,PLCg,positive,"BS, HS, SS",direct,1,regulates,KEPT
EGFR,RAF1,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
EGFR,RAF1_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
EGFR,STAT1,positive,T47D,direct,1,regulates,KEPT
EGFR,STAT5,positive,"MCF7, TGEN",direct,1,regulates,KEPT
EIF4,CYCLINDc,positive,"MCF7, T47D",indirect,2,,KEPT
EIF4,CYCLINDc_2,positive,"MCF7, T47D",indirect,2,,KEPT
EIF4,MYC,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
EIF4,MYC_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
EIF4,Translation,positive,"Z17, Z21",direct in the network sense,1,regulates,KEPT
EIF4EBP1,EIF4,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ER,ESR1,positive,"Z17, Z21",,0,regulates,KEPT
ER,ESR1_2,positive,"Z17, Z21",,0,necessary,KEPT
ERK,BAD,negative,"MCF7, T47D, TGEN, Z17",direct in the network sense,1,regulates,KEPT
ERK,BCL2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,CASP8,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,CASP9,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,CYCLINDc,positive,T47D,indirect,2,,TAKEN_OUT
ERK,CYCLINDc_2,positive,T47D,indirect,2,,TAKEN_OUT
ERK,CyclinD,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
ERK,CyclinD_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
ERK,ERK_2,positive,"BL, BS, HL, HS, SL, SS, Z17, Z21",,0,necessary,KEPT
ERK,GSK3B,negative,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
ERK,JUN,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ERK,MCL1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,MYC,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK,RAF1,negative,"BL, HL, SL",direct,1,regulates,KEPT
ERK,RAF1_2,negative,"BL, HL, SL",direct,1,,KEPT
ERK,S6K,positive,"BL, BS, HL, HS, SL, SS, T47D",direct,1,regulates,KEPT
ERK,STK11,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
ERK,TSC2,negative,"BL, HL, MCF7, SL, T47D, TGEN",direct in the network sense,1,regulates,KEPT
ERK,TWIST1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ERK,p21,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ERK_2,BAD,negative,"MCF7, T47D, TGEN, Z17, Z21",direct in the network sense,1,,KEPT
ERK_2,BCL2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,BIM,negative,"Z17, Z21",direct,1,regulates,KEPT
ERK_2,CASP8,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,CASP9,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,CYCLINDc,positive,T47D,indirect,2,,TAKEN_OUT
ERK_2,CYCLINDc_2,positive,T47D,indirect,2,,TAKEN_OUT
ERK_2,CyclinD,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
ERK_2,CyclinD_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
ERK_2,FOXO3_Ub,positive,"Z17, Z21",direct,1,regulates,KEPT
ERK_2,GSK3B,negative,"MCF7, T47D, TGEN",direct in the network sense,1,,KEPT
ERK_2,JUN,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ERK_2,MCL1,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,MYC,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,MYC_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,RAF1,negative,"BL, HL, SL",direct,1,,KEPT
ERK_2,RAF1_2,negative,"BL, HL, SL",direct,1,,KEPT
ERK_2,S6K,positive,"BL, BS, HL, HS, SL, SS, T47D",direct,1,,KEPT
ERK_2,STK11,negative,"MCF7, T47D, TGEN",indirect,2,,KEPT
ERK_2,TSC2,negative,"BL, HL, MCF7, SL, T47D, TGEN, Z17, Z21",direct in the network sense,1,,KEPT
ERK_2,TWIST1,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ERK_2,p21,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ER_transcription,ER_transcription_2,positive,"Z17, Z21",,0,necessary,KEPT
ER_transcription,MYC,positive,"Z17, Z21",direct,1,regulates,KEPT
ER_transcription_2,BCL2,positive,Z17,direct,1,regulates,KEPT
ER_transcription_2,ER_transcription_feedback_1,positive,Z21,assumption,4,,KEPT
ER_transcription_2,MYC_2,positive,"Z17, Z21",direct,1,,KEPT
ER_transcription_feedback_1,ER_transcription_feedback_2,positive,Z21,assumption,4,,KEPT
ER_transcription_feedback_2,ER_transcription_feedback_2,positive,Z21,assumption,4,,KEPT
ER_transcription_feedback_2,ESR1_2,negative,Z21,assumption,4,,KEPT
ES,ESR1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ES,ESR1_2,positive,"MCF7, T47D, TGEN, Z21",direct,1,,KEPT
ESR1,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1,ER_transcription,positive,"Z17, Z21",,0,necessary,KEPT
ESR1,ESR1_2,positive,"Z17, Z21",,0,necessary,KEPT
ESR1,HSP90AA1,positive,T47D,correlation,3,,KEPT
ESR1,IGF1R,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
ESR1,IGF1R_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
ESR1,MYC,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1,MYC_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1,PI3K,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
ESR1,PI3K_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ESR1_2,CYCLINDc,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1_2,CYCLINDc_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1_2,ER_transcription,positive,"Z17, Z21",,0,,KEPT
ESR1_2,ER_transcription_2,positive,"Z17, Z21",,0,,KEPT
ESR1_2,HSP90AA1,positive,T47D,correlation,3,,KEPT
ESR1_2,IGF1R,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
ESR1_2,IGF1R_2,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
ESR1_2,MYC,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1_2,MYC_2,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
ESR1_2,PI3K,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
ESR1_2,PI3K_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
Everolimus,mTORC1,negative,"Z17, Z21",direct in the network sense,1,regulates,KEPT
Everolimus,mTORC2_ic,negative,"Z17, Z21",indirect,2,,KEPT
Everolimus,mTORC2_pm,negative,"Z17, Z21",indirect,2,,TAKEN_OUT
FADD,CASP8,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
FAS,FADD,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
FASLG,FAS,positive,"MCF7, T47D, TGEN",direct,1,necessary,KEPT
FASLG,FASLG,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
FOXA1,ER_transcription_2,positive,"Z17, Z21",direct,1,regulates,KEPT
FOXO1,BIM,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
FOXO1,FOXO1FOXO3,positive,merge,,0,regulates,KEPT
FOXO3,BIM,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
FOXO3,ESR1,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates,KEPT
FOXO3,ESR1_2,positive,"MCF7, T47D, TGEN, Z17, Z21",direct,1,,KEPT
FOXO3,FASLG,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
FOXO3,FOXA1,positive,Z17,correlation,3,,KEPT
FOXO3,FOXO1FOXO3,positive,merge,,0,regulates,KEPT
FOXO3,HER2,positive,T47D,direct,1,regulates,KEPT
FOXO3,HER3,positive,"Z17, Z21",direct,1,regulates,KEPT
FOXO3,HER3_2,positive,"Z17, Z21",direct,1,,KEPT
FOXO3,IGF1R,positive,"MCF7, T47D, TGEN, Z17, Z21",indirect,2,,KEPT
FOXO3,IGF1R_2,positive,"MCF7, T47D, TGEN, Z17, Z21",indirect,2,,KEPT
FOXO3,INSR,positive,"MCF7, T47D, TGEN",indirect,2,,KEPT
FOXO3,STK11,positive,T47D,indirect,2,,KEPT
FOXO3,p21_p27_T,positive,"Z17, Z21",direct,1,regulates,KEPT
FOXO3_Ub,FOXO3,negative,"Z17, Z21",direct,1,regulates,KEPT
FZD,DVL1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
Fulvestrant,ESR1,negative,"Z17, Z21",direct,1,regulates,KEPT
Fulvestrant,ESR1_2,negative,"Z17, Z21",direct,1,,KEPT
GATA3,PPARG,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
GRB2,ABL1,positive,"MCF7, T47D, TGEN",assumption,4,,TAKEN_OUT
GRB2,SOS1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
GSK3B,AXIN1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
GSK3B,CYCLINDc,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
GSK3B,CYCLINDc_2,negative,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
GSK3B,CyclinD,negative,"BL, SL",direct,1,regulates,KEPT
GSK3B,CyclinD_2,negative,"BL, SL",direct,1,,KEPT
GSK3B,DC,positive,"MCF7, T47D, TGEN",,0,necessary,KEPT
GSK3B,GSK3B,positive,"BL, HL, SL",direct,1,regulates,KEPT
GSK3B,JUN,negative,"BL, HL, SL",direct,1,regulates,KEPT
GSK3B,MCL1,negative,"MCF7, T47D, TGEN",direct in the network sense,1,regulates,KEPT
GSK3B,MYC,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
GSK3B,MYC_2,negative,"MCF7, T47D, TGEN",direct,1,,KEPT
GSK3B,PTEN,negative,"BL, HL, SL",direct,1,regulates,KEPT
GSK3B,PTEN_2,negative,"BL, HL, SL",direct,1,,KEPT
GSK3B,TSC2,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
HER2,AKT,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
HER2,EGFR,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
HER2,GRB2,positive,T47D,direct,1,regulates,KEPT
HER2,HER2,positive,"BL, BS, HL, HS, SL, SS",direct,1,regulates,KEPT
HER2,HER2HER3c,positive,"MCF7, T47D, TGEN, Z17, Z21",,0,necessary,KEPT
HER2,HER2HER3c_2,positive,"MCF7, T47D, TGEN, Z17, Z21",,0,,KEPT
HER2,IGF1R,positive,"Z17, Z21",correlation,3,,TAKEN_OUT
HER2,IGF1R_2,positive,"Z17, Z21",correlation,3,,TAKEN_OUT
HER2,MEK,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER2,MEK_2,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER2,PDK1_pm,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER2,PLCg,positive,"BS, HS, SS",direct,1,regulates,KEPT
HER2,RAF1,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
HER2,RAF1_2,positive,"BL, HL, SL",indirect,2,,TAKEN_OUT
HER2,S6K,positive,SL,indirect,2,,TAKEN_OUT
HER2,TSC2,positive,SL,indirect,2,,TAKEN_OUT
HER2HER3c,HER2HER3c_2,positive,"Z17, Z21",,0,necessary,KEPT
HER2HER3c,PI3K,positive,"Z17, Z21",direct,1,regulates,KEPT
HER2HER3c,RAS,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
HER2HER3c,RAS_2,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
HER2HER3c_2,PI3K,positive,"Z17, Z21",direct,1,,KEPT
HER2HER3c_2,PI3K_2,positive,"Z17, Z21",direct,1,,KEPT
HER2HER3c_2,RAS,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
HER2HER3c_2,RAS_2,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
HER2HER3c_2,RAS_3,positive,"Z17, Z21",indirect,2,,TAKEN_OUT
HER3,AKT,positive,"BL, BS, HL, HS, SL, SS",indirect,2,,TAKEN_OUT
HER3,CyclinB1,positive,BL,indirect,2,,TAKEN_OUT
HER3,EGFR,positive,"HL, MCF7, T47D, TGEN",direct,1,regulates,KEPT
HER3,ERK,positive,SS,indirect,2,,TAKEN_OUT
HER3,ERK_2,positive,SS,indirect,2,,TAKEN_OUT
HER3,HER2HER3c,positive,"BS, MCF7, T47D, TGEN, Z17, Z21",,0,necessary,KEPT
HER3,HER2HER3c_2,positive,"BS, MCF7, T47D, TGEN, Z17, Z21",,0,,KEPT
HER3,HER3_2,positive,"BL, BS, HL, HS, SL, SS, Z17, Z21",,0,necessary,KEPT
HER3,MEK,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3,MEK_2,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3,NFKB,positive,SL,indirect,2,,KEPT
HER3,PDK1_pm,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3,PLCg,positive,"BS, HS, SS",assumption,4,,TAKEN_OUT
HER3_2,AKT,positive,"BL, BS, HL, HS, SL, SS",indirect,2,,TAKEN_OUT
HER3_2,CyclinB1,positive,BL,indirect,2,,TAKEN_OUT
HER3_2,EGFR,positive,"HL, MCF7, T47D, TGEN",direct,1,,KEPT
HER3_2,ERK,positive,SS,indirect,2,,TAKEN_OUT
HER3_2,ERK_2,positive,SS,indirect,2,,TAKEN_OUT
HER3_2,HER2HER3c,positive,"BS, MCF7, T47D, TGEN, Z17, Z21",,0,,KEPT
HER3_2,HER2HER3c_2,positive,"BS, MCF7, T47D, TGEN, Z17, Z21",,0,,KEPT
HER3_2,MEK,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3_2,MEK_2,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3_2,NFKB,positive,SL,indirect,2,,KEPT
HER3_2,PDK1_pm,positive,"BS, HS, SS",indirect,2,,TAKEN_OUT
HER3_2,PLCg,positive,"BS, HS, SS",assumption,4,,TAKEN_OUT
HER3_T,HER3,positive,"Z17, Z21",direct,1,regulates,KEPT
HES1,MYOD1,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
HEY1,MYOG,negative,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
HRAS,RAF1,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
HRAS,RAF1_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
HSP90AA1,NOS3,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
IGF1,AKT,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IGF1,CYCLINDc,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
IGF1,CYCLINDc_2,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
IGF1,HRAS,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IGF1,IGF1R,positive,"MCF7, T47D, TGEN",direct,1,regulates,KEPT
IGF1,IGF1R_2,positive,"MCF7, T47D, TGEN",direct,1,,KEPT
IGF1,MYC,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
IGF1,MYC_2,positive,"MCF7, T47D",indirect,2,,TAKEN_OUT
IGF1,RAS,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IGF1,RAS_2,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IGF1,RAS_3,positive,"MCF7, TGEN",indirect,2,,TAKEN_OUT
IGF1,mTORC1,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
IGF1R,AKT,positive,"MCF7, T47D, TGEN",indirect,2,,TAKEN_OUT
