index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1613,HER3,HER2HER3c,positive,T47D,,0,necessary,Replaces HER3 -> HER2. The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation.
1614,mTORC2_ic,SGK1,positive,T47D,direct,1,necessary,"Replaces mTORC2_pm -> SGK1. phosphorylation. Intracellular mTORC2 directly phosphorylates the SGK1 hydrophobic-motif site Ser422, enabling subsequent activation by PDK1."
1615,NFKB,EGFR,positive,T47D,direct,1,regulates,Replaces RELA -> EGFR. The NF-κB subunit responsible is more likely p50 or BCL3. regulation of transcription. NF-κB can regulate EGFR transcription.
1616,NFKB,IL1B,positive,T47D,direct,1,regulates,Replaces RELA -> IL1B. regulation of transcription. NF-κB binds the IL1B promoter/regulatory regions and activates IL1B transcription.
1617,PDK1_ic,PAK1,positive,T47D,direct,1,regulates,Replaces PDK1_pm -> PAK1. phosphorylation. PDK1 phosphorylates PAK1 and increases its kinase activity. This interaction does not require the PDK1 phosphoinositide-binding function.
1618,PDK1_ic,SGK1,positive,T47D,direct,1,necessary,"Replaces PDK1_PM -> SGK1. phosphorylation. Intracellular PDK1 phosphorylates SGK1 at Thr256 in its activation loop, producing full kinase activation after the hydrophobic-motif site (Ser422) has been phosphorylated by mTORC2."
1619,HER2,HER2HER3c,positive,TGEN,,0,necessary,"Replaces HER2 -> HER2HER3c. The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
1620,HER3,HER2HER3c,positive,TGEN,,0,necessary,Replaces HER3 -> HER2. The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation.
1621,mTORC2_ic,SGK1,positive,TGEN,direct,1,necessary,"Replaces mTORC2_pm -> SGK1. phosphorylation. Intracellular mTORC2 directly phosphorylates the SGK1 hydrophobic-motif site Ser422, enabling subsequent activation by PDK1."
1622,NFKB,IL1B,positive,TGEN,direct,1,regulates,Replaces RELA -> IL1B. regulation of transcription. NF-κB binds the IL1B promoter/regulatory regions and activates IL1B transcription.
1623,PDK1_ic,SGK1,positive,TGEN,direct,1,necessary,"Replaces PDK1_PM -> SGK1. phosphorylation. Intracellular PDK1 phosphorylates SGK1 at Thr256 in its activation loop, producing full kinase activation after the hydrophobic-motif site (Ser422) has been phosphorylated by mTORC2."
1624,ERK,BAD,negative,Z17,direct in the network sense,1,regulates,"Replaces MAPK -| BAD. phosphorylation. ERK1/2 phosphorylate RSK, which phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2. RSK is not in the network."
1625,ERK,ERK_2,positive,Z17,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1626,ERK_2,BAD,negative,Z17,direct in the network sense,1,regulates,"Replaces MAPK_2 -| BAD. ERK1/2 phosphorylate RSK (a node not in the network), which phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1627,ERK_2,BIM,negative,Z17,direct,1,regulates,Replaces MAPK_2 -| BIM. phosphorylation. ERK1/2 directly phosphorylates BIM (BCL2L11) at Ser69. That phosphorylation promotes BIM's ubiquitination/proteasomal degradation. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation.
1628,ERK_2,FOXO3_Ub,positive,Z17,direct,1,regulates,"Replaces MAPK_2 -> FOXO3_Ub. phosphorylation. ERK1/2 phosphorylates FOXO3, which promote interaction of FOXO3 with the E3 ubiquitin ligase MDM2, which then ubiquitinates FOXO3. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1629,ERK_2,TSC2,negative,Z17,direct in the network sense,1,regulates,"Replaces MAPK_2 -| TSC2. ERK phosphorylates RSK (a node not in the network), which phosphorylates TSC2 at inhibitory sites such as Ser1798. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1630,MEK,MEK_2,positive,Z17,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1631,MEK_2,ERK_2,positive,Z17,direct,1,necessary,"MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity. MEK_2 represents high MEK activity, which cannot be fully overcome by Trametinib. ERK_2 represents high ERK activity."
1632,MEK_2,HER2HER3c_2,negative,Z17,indirect,2,,Replaces MAPK_2 -| HER2HER3c_2. causal effect. MEK induces feedback mechanisms that suppress HER-family receptor signaling; MEK inhibition relieves that feedback and causes rebound HER3/HER2 activation.  MEK_2 is a new node that reflects high MEK activity as a consequence of high RAS->RAF1->MEK activation.
1633,Neratinib,HER2,negative,Z17,direct,1,regulates,Neratinib is an irreversible pan-HER tyrosine kinase inhibitor that covalently binds the kinase domains of HER2 and EGFR. This edge is missing from the BBM version of the Z17 model. 
1634,PIP3,RAF1,positive,Z17,indirect,2,,Replaces PIP3 -> MAPK. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1.
1635,PIP3,RAF1_2,positive,Z17,indirect,2,,Replaces PIP3 -> MAPK_2. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1636,PIP3_2,RAF1,positive,Z17,indirect,2,,Replaces PIP3_2 -> MAPK. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1637,PIP3_2,RAF1_2,positive,Z17,indirect,2,,Replaces PIP3_2 -> MAPK_2. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1638,RAF1,RAF1_2,positive,Z17,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1639,RAF1_2,MEK_2,positive,Z17,direct,1,necessary,RAF1 directly phosphorylates MEK1/2 on their activating serine residues. This activates MEK kinase activity. RAF1_2 represents high RAF1 activity in response to high RAS activity. MEK_2 represents high MEK activity that cannot be completely inhibited by Trametinib.
1640,RAS,RAF1,positive,Z17,direct,1,regulates,Replaces RAS -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 (c-RAF) through RAF1's RAS-binding domain and cysteine-rich domain. This recruits RAF1 to the plasma membrane and is an essential step in RAF1 activation.
1641,RAS_2,RAF1,positive,Z17,direct,1,regulates,Replaces RAS_2 -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1642,RAS_2,RAF1_2,positive,Z17,direct,1,necessary,Replaces RAS_2 -> MAPK_2. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1643,RAS_3,RAF1,positive,Z17,direct,1,regulates,Replaces RAS_3 -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1644,RAS_3,RAF1_2,positive,Z17,direct,1,regulates,Replaces RAS_3 -> MAPK_2. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1645,Trametinib,MEK,negative,Z17,direct,1,regulates,Replaces Trametinib -| MAPK. Trametinib is a highly selective allosteric inhibitor of MEK1 and MEK2.
1646,Trametinib,MEK_2,negative,Z17,direct,1,regulates,Replaces Trametinib -| MAPK_2. Trametinib is a highly selective allosteric inhibitor of MEK1 and MEK2.
1647,ERK,ERK_2,positive,Z21,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1648,ERK_2,BAD,negative,Z21,direct in the network sense,1,regulates,"Replaces MAPK_2 -| BAD. ERK1/2 phosphorylate RSK (a node not in the network), which phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1649,ERK_2,BIM,negative,Z21,direct,1,regulates,Replaces MAPK_2 -| BIM. phosphorylation. ERK1/2 directly phosphorylates BIM (BCL2L11) at Ser69. That phosphorylation promotes BIM's ubiquitination/proteasomal degradation. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation.
1650,ERK_2,FOXO3_Ub,positive,Z21,direct,1,regulates,"Replaces MAPK_2 -> FOXO3_Ub. phosphorylation. ERK1/2 phosphorylates FOXO3, which promote interaction of FOXO3 with the E3 ubiquitin ligase MDM2, which then ubiquitinates FOXO3. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1651,ERK_2,TSC2,negative,Z21,direct in the network sense,1,regulates,"Replaces MAPK_2 -| TSC2. ERK phosphorylates RSK (a node not in the network), which phosphorylates TSC2 at inhibitory sites such as Ser1798. ERK_2 is a new node that reflects high ERK activity as a consequence of high RAS->RAF1->MEK-> ERK activation."
1652,MEK,MEK_2,positive,Z21,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1653,MEK_2,ERK_2,positive,Z21,direct,1,necessary,"MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity. MEK_2 represents high MEK activity, which cannot be fully overcome by Trametinib. ERK_2 represents high ERK activity."
1654,MEK_2,HER2HER3c_2,negative,Z21,indirect,2,,Replaces MAPK_2 -| HER2HER3c_2. causal effect. MEK induces feedback mechanisms that suppress HER-family receptor signaling; MEK inhibition relieves that feedback and causes rebound HER3/HER2 activation.  MEK_2 is a new node that reflects high MEK activity as a consequence of high RAS->RAF1->MEK activation.
1655,PIP3,RAF1,positive,Z21,indirect,2,,Replaces PIP3 -> MAPK. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1.
1656,PIP3,RAF1_2,positive,Z21,indirect,2,,Replaces PIP3 -> MAPK_2. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1657,PIP3_2,RAF1,positive,Z21,indirect,2,,Replaces PIP3_2 -> MAPK. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1658,PIP3_2,RAF1_2,positive,Z21,indirect,2,,Replaces PIP3_2 -> MAPK_2. causal effect. PIP3 indirectly activates RAF1 via RAC and PAK1. We consider that the confidence level is the same as that of the PIP3->RAF1 edge.
1659,RAF1,RAF1_2,positive,Z21,,0,necessary,Reaching a higher level necessitates reaching the lower level first.
1660,RAF1_2,MEK_2,positive,Z21,direct,1,necessary,RAF1 directly phosphorylates MEK1/2 on their activating serine residues. This activates MEK kinase activity. RAF1_2 represents high RAF1 activity in response to high RAS activity. MEK_2 represents high MEK activity that cannot be completely inhibited by Trametinib.
1661,RAS,RAF1,positive,Z21,direct,1,regulates,Replaces RAS -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 (c-RAF) through RAF1's RAS-binding domain and cysteine-rich domain. This recruits RAF1 to the plasma membrane and is an essential step in RAF1 activation.
1662,RAS_2,RAF1,positive,Z21,direct,1,regulates,Replaces RAS_2 -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1663,RAS_2,RAF1_2,positive,Z21,direct,1,necessary,Replaces RAS_2 -> MAPK_2. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1664,RAS_3,RAF1,positive,Z21,direct,1,regulates,Replaces RAS_3 -> MAPK. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1665,RAS_3,RAF1_2,positive,Z21,direct,1,regulates,Replaces RAS_3 -> MAPK_2. protein-protein interaction. RAS-GTP directly binds RAF1 and recruits it to the plasma membrane.
1666,Trametinib,MEK,negative,Z21,direct,1,regulates,Replaces Trametinib -| MAPK. Trametinib is a highly selective allosteric inhibitor of MEK1 and MEK2.
1667,Trametinib,MEK_2,negative,Z21,direct,1,regulates,Replaces Trametinib -| MAPK_2. Trametinib is a highly selective allosteric inhibitor of MEK1 and MEK2.
