index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
43,RB,RB,positive,BL,unsupported,-,,"This proteomics-inferred edge is not supported by mechanistic evidence. Instead, there is indirect negative feedback regulation of RB."
44,RPS6,RPS6,positive,BL,unsupported,-,,RPS6 is a ribosomal protein and kinase substrate; it cannot self-activate. The feedback loops in which RPS6 participates are compensatory (negative).
45,S6K,RPS6,positive,BL,direct,1,regulates,phosphorylation. S6K1 directly phosphorylates ribosomal protein S6 (RPS6) on multiple serine residues.
46,AKT,TSC2,negative,BL,direct,1,regulates,"phosphorylation. AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
47,ERK,TSC2,negative,BL,direct in the network sense,1,regulates,"ERK phosphorylates RSK, which phosphorylates TSC2 at inhibitory sites such as Ser1798. RSK is not in the network."
48,GSK3B,TSC2,negative,BL,unsupported,-,,This inferred edge is contradicted by an observed positive regulation of TSC2 by GSK3B.
49,TSC2,TSC2,positive,BL,unsupported,-,,This inferred positive self-regulation is contradicted by the fact that TSC2 participates in several well-established negative feedback loops.
50,GSK3B,JUN,negative,BL,direct,1,regulates,phosphorylation. GSK3B phosphorylates residues in the C-terminal DNA-binding region of JUN. These modifications reduce JUN's DNA-binding/transcriptional activity.
51,JUN,JUN,positive,BL,direct,1,regulates,"regulation of transcription. The JUN promoter contains AP-1-binding sites, and c-JUN-containing AP-1 complexes bind these regulatory elements and stimulate JUN transcription."
52,EGFR,RAF1,positive,BL,indirect,2,,causal effect mediated by SOS/GRB and RAS
53,HER2,RAF1,positive,BL,indirect,2,,causal effect mediated by adaptor proteins and RAS
54,ERK,RAF1,negative,BL,direct,1,regulates,phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state.
55,RAF1,RAF1,positive,BL,unsupported,-,,This inferred self-activation is contradicted by the strongly supported RAF1 self-limiting circuit via MEK and ERK.
56,AKT,p38,positive,BL,correlation,3,,This proteomics-inferred edge is consistent with correlation between the Pi3K/AKT and p38 MAPK pathway.
57,p38,p38,positive,BL,assumption,4,,"p38 can autophosphorylate when bound to TAB1, which is an AMPK-activated scaffold protein. TAB1 is not in the network so the relevance of this mechanism is unclear."
58,CyclinB1,p53,positive,BL,unsupported,-,,This proteomics-inferred edge is not supported by causal or mechanistic evidence. Any causal effects would need the active Cyclin B1- CDK1 complex.
59,PTEN,p53,positive,BL,direct,1,regulates,"protein-protein interaction. PTEN can physically bind p53 and stabilize it, increasing p53 half-life and transcriptional activity. PTEN also raises p53 indirectly through PI3K, AKT, MDM2."
60,RB,p53,positive,BL,indirect,2,,"causal effect mediated by MDM2. RB interferes with MDM2-mediated ubiquitination/degradation of p53, thereby stabilizing p53."
61,p38,p53,positive,BL,direct,1,regulates,"phosphorylation. p38 MAPK phosphorylates p53. Co-expression of p38 stabilized p53, while inhibition of p38 after UV irradiation reduced p53 phosphorylation and p53-dependent apoptosis."
62,p53,p53,positive,BL,direct,1,regulates,regulation of transcription. p53 can induce TP53 transcription by binding its own promoter.
63,stimulus,p53,positive,BL,assumption,4,,This proteomics-inferred edge is not supported by evidence.
64,ERK,S6K,positive,BL,direct,1,regulates,"phosphorylation. ERK phosphorylates S6K, contributing to its activation"
65,NFKB,S6K,negative,BL,unsupported,-,,A positive effect from S6K to NFKB is more supported. There is some evidence that NFκB can have a positive effect on S6K1 abundance/stability.
66,PRAS40,S6K,negative,BL,indirect,2,,causal effect mediated by mTORC1
67,TSC2,S6K,negative,BL,indirect,2,,"causal effect, mediated by RHEB and mTORC1"
68,S6K,S6K,positive,BL,unsupported,-,,This proteomics- inferred edge is contradicted by the well-known self-inhibiting negative feedback loop of S6K1  mediated by PI3K–AKT–mTORC1 signaling.
69,AKT,AKT,positive,HL,indirect,2,,AKT does not self-regulate but it participates in a positive feedback loop with mTORC2_pm.
70,CyclinB1,AKT,positive,HL,indirect,2,,causal effect supported by perturbation evidence; the mechanism is not clear
71,EGFR,AKT,positive,HL,indirect,2,,"causal effect mediated by PI3K, PIP3"
72,HER2,AKT,positive,HL,indirect,2,,"causal effect mediated by PI3K, others"
73,HER3,AKT,positive,HL,indirect,2,,"causal effect mediated by PI3K, others"
74,PTEN,AKT,negative,HL,indirect,2,,causal effect mediated by PIP3
75,CyclinB1,CyclinB1,positive,HL,unsupported,-,,This inferred self-regulation is not supported by mechanistic evidence of self-regulation or a positive feedback loop.
76,p53,CyclinB1,negative,HL,direct,1,regulates,regulation of transcription. p53 can associate with the CCNB1 promoter through other DNA-bound transcription factors and reduces CCNB1 transcription.
77,AKT,CyclinD,positive,HL,indirect,2,,causal effect mediated by GSK3B
78,CyclinD,CyclinD,positive,HL,unsupported,-,,This inferred self-regulation is not supported by experimental evidence of self-regulation or a positive feedback loop.
79,ERK,CyclinD,positive,HL,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
80,JUN,CyclinD,positive,HL,direct,1,regulates,"regulation of transcription. c-JUN is part of the AP-1 transcription factor complex and directly binds an AP-1-responsive element in the CCND1 promoter, promoting Cyclin D1 transcription."
81,S6K,CyclinD,positive,HL,indirect,2,,"causal effect on the translation of Cyclin D, mediated by EIF4"
82,EGFR,EGFR,positive,HL,direct,1,regulates,phosphorylation. EGFR homodimers phosphorylate each other
83,HER3,EGFR,positive,HL,direct,1,regulates,protein-protein interaction; heterodimerization activates EGFR
84,JUN,EGFR,positive,HL,direct,1,regulates,regulation of transcription. c-JUN/AP-1 directly regulates EGFR transcription.
85,erlotinib,EGFR,negative,HL,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of EGFR.
86,pertuzumab,EGFR,negative,HL,indirect,2,,causal effect. pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization
87,stimulus,EGFR,positive,HL,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to EGFR activation
88,HER2,HER2,positive,HL,direct,1,regulates,protein-protein interaction. Homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
89,erlotinib,HER2,negative,HL,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of HER2
90,pertuzumab,HER2,negative,HL,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
91,stimulus,HER2,positive,HL,correlation,3,,This proteomics-nferred edge is consistent with evidence that growth factors in a growth medium activate receptors that recruit HER2 into active heterodimers.
92,trastuzumab,HER2,negative,HL,direct,1,regulates,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
93,HER3,HER3,positive,HL,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
94,RPS6,HER3,positive,HL,unsupported,-,,This proteomics-inferred edge is contradicted by the known negative mTORC1-to-HER3 feedback effect.
95,erlotinib,HER3,negative,HL,indirect,2,,causal effect mediated by HER2 or another kinase
96,pertuzumab,HER3,negative,HL,replaced,,,"Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
97,stimulus,HER3,positive,HL,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to HER3 activation
98,EGFR,ERK,positive,HL,indirect,2,,"causal effect mediated by SOS/GRB, RAS, RAF, MEK"
99,ERK,ERK,positive,HL,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
100,RAF1,ERK,positive,HL,indirect,2,,causal effect mediated by MEK
101,AKT,FOXO1FOXO3,negative,HL,replaced,,,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges. This edge is replaced by the AKT-| FOXO1 and AKT-| FOXO3 edges."
102,FOXO1FOXO3,FOXO1FOXO3,positive,HL,unsupported,-,,"This assumed self-activation is contradicted by the fact that neither FOXO1 nor FOXO3 has functional self regulation, and they participate in a negative feedback loop with HER3/IGFR1, PI3K, and AKT."
103,GSK3B,GSK3B,positive,HL,direct,1,regulates,"phosphorylation. GSK3β autophosphorylates at Tyr216, and Tyr216 phosphorylation is associated with the active form of GSK3β."
104,p53,GSK3B,positive,HL,direct,1,regulates,protein-protein interaction. p53 binds GSK3B and increases its kinase activity.
105,AKT,PRAS40,negative,HL,direct,1,regulates,phosphorylation. AKT phosphorylates PRAS40 (AKT1S1). This promotes PRAS40 association with 14-3-3 and reduces its association/inhibitory action on mTORC1.
106,PRAS40,PRAS40,positive,HL,indirect,2,,PRAS40 participates in mutual inhibition with mTORC1.
107,JUN,PRAS40,positive,HL,indirect,2,,"causal effect mediated by PDK1, AKT"
108,GSK3B,PTEN,negative,HL,direct,1,regulates,"phosphorylation. GSK3B phosphorylates PTEN, yielding reduced PTEN stability / enhanced PTEN degradation."
109,PTEN,PTEN,positive,HL,indirect,2,,"PTEN promotes its own stability via a positive feedback loop mediated by AKT, FOXO, USP11."
110,RAF1,PTEN,positive,HL,unsupported,-,,"This inferred edge is contradicted by the observation that MEK inhibition can increase PTEN expression, while constitutive MAPK signaling is associated with reduced PTEN."
111,CyclinB1,RB,negative,HL,unsupported,-,,"This inferred edge is contradicted by the fact that only CDKs phosphorylate RB, not cyclins."
112,RB,RB,positive,HL,unsupported,-,,"This proteomics-inferred edge is not supported by mechanistic evidence. Instead, there is indirect negative feedback regulation of RB."
113,p53,RB,positive,HL,indirect,2,,causal effect. p53 transcriptionally activates CDKN1A/p21. p21 then inhibits the Cyclin D–CDK4/6 and Cyclin E–CDK2 machinery responsible for RB phosphorylation.
114,RPS6,RPS6,positive,HL,unsupported,-,,RPS6 is a ribosomal protein and kinase substrate; it cannot self-activate. The feedback loops in which RPS6 participates are compensatory (negative).
115,S6K,RPS6,positive,HL,direct,1,regulates,phosphorylation. S6K1 directly phosphorylates ribosomal protein S6 (RPS6) on multiple serine residues
116,AKT,TSC2,negative,HL,direct,1,regulates,"phosphorylation. AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
117,ERK,TSC2,negative,HL,direct in the network sense,1,regulates,"ERK phosphorylates RSK, which phosphorylates TSC2 at inhibitory sites such as Ser1798. RSK is not in the network."
118,GSK3B,TSC2,negative,HL,unsupported,-,,This inferred edge is contradicted by an observed positive regulation of TSC2 by GSK3B.
119,RB,TSC2,positive,HL,assumption,4,,This proteomics-inferred edge is not supported by mechanistic evidence.
120,TSC2,TSC2,positive,HL,unsupported,-,,This inferred positive self-regulation is contradicted by the fact that TSC2 participates in several well-established negative feedback loops.
121,GSK3B,JUN,negative,HL,direct,1,regulates,phosphorylation. GSK3B phosphorylates residues in the C-terminal DNA-binding region of JUN. These modifications reduce JUN's DNA-binding/transcriptional activity.
122,JUN,JUN,positive,HL,direct,1,regulates,"regulation of transcription. The JUN promoter contains AP-1-binding sites, and c-JUN-containing AP-1 complexes bind these regulatory elements and stimulate JUN transcription"
123,EGFR,RAF1,positive,HL,indirect,2,,causal effect mediated by SOS/GRB and RAS
124,HER2,RAF1,positive,HL,indirect,2,,causal effect mediated by adaptor proteins and RAS
125,ERK,RAF1,negative,HL,direct,1,regulates,phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state.
126,RAF1,RAF1,positive,HL,unsupported,-,,This inferred self-activation is contradicted by the strongly supported RAF1 self-limiting circuit via MEK and ERK.
127,AKT,p38,positive,HL,correlation,3,,This proteomics-inferred edge  is consistent with correlation between the Pi3K/AKT and p38 MAPK pathway.
128,p38,p38,positive,HL,assumption,4,,"p38 can autophosphorylate when bound to TAB1, which is an AMPK-activated scaffold protein. TAB1 is not in the network so the relevance of this mechanism is unclear."
129,CyclinB1,p53,positive,HL,unsupported,-,,This proteomics-inferred edge is not supported by causal or mechanistic evidence. Any causal effects would need the active Cyclin B1- CDK1 complex.
130,RB,p53,positive,HL,indirect,2,,"causal effect mediated by MDM2. RB interferes with MDM2-mediated ubiquitination/degradation of p53, thereby stabilizing p53."
131,p38,p53,positive,HL,direct,1,regulates,"phosphorylation. p38 MAPK phosphorylates p53. Co-expression of p38 stabilized p53, while inhibition of p38 after UV irradiation reduced p53 phosphorylation and p53-dependent apoptosis."
132,p53,p53,positive,HL,direct,1,regulates,regulation of transcription. p53 can induce TP53 transcription by binding its own promoter.
133,ERK,S6K,positive,HL,direct,1,regulates,"phosphorylation. ERK phosphorylates S6K, contributing to its activation"
134,PRAS40,S6K,negative,HL,indirect,2,,causal effect mediated by mTORC1
135,TSC2,S6K,negative,HL,indirect,2,,"causal effect, mediated by RHEB and mTORC1"
136,S6K,S6K,positive,HL,unsupported,-,,This proteomics- inferred edge is contradicted by the well-known self-inhibiting negative feedback loop of S6K1  mediated by PI3K–AKT–mTORC1 signaling.
137,AKT,AKT,positive,BS,indirect,2,,AKT does not self-regulate but it participates in a positive feedback loop with mTORC2_pm.
138,HER3,AKT,positive,BS,indirect,2,,"causal effect mediated by PI3K, others"
139,PDK1_pm,AKT,positive,BS,direct,1,regulates,phosphorylation. Plasma-membrane-bound PDK1 directly phosphorylates AKT at Thr308 in its activation loop.
140,mTORC1,AKT,positive,BS,unsupported,-,,"This inferred edge is not supported by evidence; instead, there is a negative feedback effect"
141,EGF,EGFR,positive,BS,direct,1,regulates,ligand-receptor binding
142,EGFR,EGFR,positive,BS,direct,1,regulates,phosphorylation. EGFR homodimers phosphorylate each other
143,PLCg,EGFR,positive,BS,unsupported,-,,"This edge is not supported by evidence, there is an indirect negative effect instead"
144,erlotinib,EGFR,negative,BS,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of EGFR.
145,pertuzumab,EGFR,negative,BS,indirect,2,,causal effect. pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
146,EGF,HER2,positive,BS,indirect,2,,causal effect mediated by EGFR heterodimerization with HER2
147,HER2,HER2,positive,BS,direct,1,regulates,protein-protein interaction. Homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
148,HER3,HER2,positive,BS,replaced,,,The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation. This edge is replaced by a HER3->HER2HER3c edge.
149,erlotinib,HER2,negative,BS,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of HER2
150,pertuzumab,HER2,negative,BS,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
151,trastuzumab,HER2,negative,BS,direct,1,regulates,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
152,HER3,HER3,positive,BS,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
153,NRG1,HER3,positive,BS,direct,1,regulates,ligand-receptor binding
154,erlotinib,HER3,negative,BS,indirect,2,,causal effect mediated by HER2 or another kinase
155,pertuzumab,HER3,negative,BS,replaced,,,"Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
156,EGF,ERK,positive,BS,indirect,2,,"causal effect mediated by EGFR, RAS, RAF, MEK"
157,ERK,ERK,positive,BS,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
158,MEK,ERK,positive,BS,direct,1,necessary,"phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
159,pertuzumab,ERK,positive,BS,indirect,2,,causal effect. Inhibition of MAPK signaling is an established downstream consequence of pertuzumab-mediated HER2 blockade
160,EGFR,MEK,positive,BS,indirect,2,,"causal effect mediated by RAS, RAF"
161,HER2,MEK,positive,BS,indirect,2,,"causal effect mediated by RAS, RAF"
162,HER3,MEK,positive,BS,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
163,MEK,MEK,positive,BS,unsupported,-,,This inferred self-regulation is contradicted by evidence of a negative feedback regulation of MEK: ERK phosphorylates MEK1 at Thr292; disruption of this feedback produces increased and prolonged MEK2 and ERK phosphorylation.
164,EGFR,PDK1_pm,positive,BS,indirect,2,,"causal effect mediated by PI3K, PIP3"
165,HER2,PDK1_pm,positive,BS,indirect,2,,"causal effect mediated by PI3K, PIP3"
166,HER3,PDK1_pm,positive,BS,indirect,2,,"causal effect mediated by PI3K, PIP3"
167,MEK,PDK1_pm,positive,BS,unsupported,-,,This inferred edge is contradicted by evidence that a MEK inhibitor did not affect PDK1 phosphorylation.
168,PDK1_pm,PDK1_pm,positive,BS,unsupported,-,,This inferred self-regulation is contradicted by a lack of self-regulation and the existence of negative feedback loops involving PDK1_pm.
169,PKCa,PKCa,positive,BS,unsupported,-,,This inferred self-regulation is contradicted by evidence for activity-dependent self-limitation of PKCa.
170,PLCg,PKCa,positive,BS,direct in the network sense,1,regulates,"mediated by DAG, which is not part of the network"
171,EGF,PLCg,positive,BS,indirect,2,,causal effect mediated by EGFR
172,EGFR,PLCg,positive,BS,direct,1,regulates,phosphorylation. EGFR recruits PLCgamma1 and phosphorylates it
173,HER2,PLCg,positive,BS,direct,1,regulates,phosphorylation. Activated HER2 binds to PLCgamma1 and phosphorylates it.
174,HER3,PLCg,positive,BS,assumption,4,,"There is evidence for binding but no evidence of a functional effect. Any indirect relationship would need to involve HER2, but there is no causal or mechanistic evidence."
175,PLCg,PLCg,positive,BS,unsupported,-,,"This inferred positive self-regulation is contradicted by a well-supported negative feedback loop mediated by DAG, PKC and receptor downregulation."
176,AKT,mTORC1,positive,BS,indirect,2,,"causal effect mediated by PRAS40, TSC2"
177,mTORC1,mTORC1,positive,BS,unsupported,-,,"mTOR kinase undergoes autophosphorylation, but this does not have a functional effect"
178,pertuzumab,mTORC1,positive,BS,indirect,2,,causal effect. Pertuzumab-mediated HER2 blockade can indirectly inhibit mTORC1
179,AKT,S6K,positive,BS,indirect,2,,causal effect mediated by mTORC1
180,ERK,S6K,positive,BS,direct,1,regulates,"phosphorylation. ERK phosphorylates S6K, contributing to its activation"
181,mTORC1,S6K,positive,BS,direct,1,regulates,phosphorylation. mTORC1 phosphorylates S6K. This phosphorylation is essential for efficient S6K1 activation; full activation is done by PDK1.
182,S6K,S6K,positive,BS,unsupported,-,,This proteomics- inferred edge is contradicted by the well-known self-inhibiting negative feedback loop of S6K1  mediated by PI3K–AKT–mTORC1 signaling.
183,AKT,AKT,positive,HS,indirect,2,,AKT does not self-regulate but it participates in a positive feedback loop with mTORC2_pm.
184,HER3,AKT,positive,HS,indirect,2,,"causal effect mediated by PI3K, others"
185,PDK1_pm,AKT,positive,HS,direct,1,regulates,phosphorylation. Plasma-membrane-bound PDK1 directly phosphorylates AKT at Thr308 in its activation loop.
186,mTORC1,AKT,positive,HS,unsupported,-,,A positive effect is not supported by evidence; there is a negative feedback effect
187,S6K,AKT,positive,HS,unsupported,-,,A positive interaction is not supported by evidence; instead there is a negative feedback effect
188,EGF,EGFR,positive,HS,direct,1,regulates,ligand-receptor binding
189,EGFR,EGFR,positive,HS,direct,1,regulates,phosphorylation. EGFR homodimers phosphorylate each other
190,PLCg,EGFR,positive,HS,unsupported,-,,"This edge is not supported by evidence, there is an indirect negative effect instead."
191,erlotinib,EGFR,negative,HS,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of EGFR.
192,pertuzumab,EGFR,negative,HS,indirect,2,,causal effect. pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization
193,EGFR,HER2,positive,HS,direct,1,regulates,protein-protein interaction; heterodimerization activates HER2
194,HER2,HER2,positive,HS,direct,1,regulates,protein-protein interaction. Homodimerization of HER2 receptors leads to their trans-phosphorylation and activation.
195,PDK1_pm,HER2,positive,HS,correlation,3,,This proteomics-inferred edge is consistent with observed co-activation of PDK1 and HER2
196,erlotinib,HER2,negative,HS,direct,1,regulates,Erlotinib is a small molecule that binds the intracellular kinase domain of HER2
197,pertuzumab,HER2,negative,HS,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2
198,trastuzumab,HER2,negative,HS,direct,1,regulates,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
199,HER3,HER3,positive,HS,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
200,ERK,HER3,positive,HS,unsupported,-,,there is no evidence for a positive relationship; a negative feedback effect is known
201,NRG1,HER3,positive,HS,direct,1,regulates,ligand-receptor binding
202,erlotinib,HER3,negative,HS,indirect,2,,causal effect mediated by HER2 or another kinase
203,pertuzumab,HER3,negative,HS,replaced,,,"Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
204,ERK,ERK,positive,HS,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
205,MEK,ERK,positive,HS,direct,1,necessary,"phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
206,EGFR,MEK,positive,HS,indirect,2,,"causal effect mediated by RAS, RAF"
207,HER2,MEK,positive,HS,indirect,2,,"causal effect mediated by RAS, RAF"
208,HER3,MEK,positive,HS,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
209,MEK,MEK,positive,HS,unsupported,-,,This inferred self-regulation is contradicted by evidence of a negative feedback regulation of MEK: ERK phosphorylates MEK1 at Thr292; disruption of this feedback produces increased and prolonged MEK2 and ERK phosphorylation.
210,PDK1_pm,MEK,positive,HS,direct,1,regulates,phosphorylation. PDK1 phosphorylates MEK1 and MEK2
211,EGFR,PDK1_pm,positive,HS,indirect,2,,"causal effect mediated by PI3K, PIP3"
212,HER2,PDK1_pm,positive,HS,indirect,2,,"causal effect mediated by PI3K, PIP3"
213,HER3,PDK1_pm,positive,HS,indirect,2,,"causal effect mediated by PI3K, PIP3"
