Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
HER2,HER2,positive,BS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
HER3,HER2,positive,BS,positive,unsupported,,,The HER2-HER3 heterodimer formation is better represented with a separate HER2HER3c node
erlotinib,HER2,negative,BS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
pertuzumab,HER2,negative,BS,negative,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
trastuzumab,HER2,negative,BS,negative,direct,1,,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
HER3,HER3,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
NRG1,HER3,positive,BS,positive,direct,1,regulates,ligand-receptor binding
erlotinib,HER3,negative,BS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
pertuzumab,HER3,negative,BS,negative,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node."
EGF,ERK,positive,BS,positive,indirect,2,,"causal effect mediated by EGFR, RAS, RAF, MEK"
ERK,ERK,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
MEK,ERK,positive,BS,positive,direct,1,regulates,MEK1/2 directly binds and phosphorylates ERK1/2
pertuzumab,ERK,positive,BS,positive,unsupported,,,this inferred edge is not supported by experimental evidence
EGFR,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER3,MEK,positive,BS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
MEK,MEK,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
EGFR,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PDK1_pm,positive,BS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
MEK,PDK1_pm,positive,BS,positive,unsupported,,,This inferred edge is not supported by evidence
PDK1_pm,PDK1_pm,positive,BS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PKCa,PKCa,positive,BS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PLCg,PKCa,positive,BS,positive,direct in the network sense,1,,"mediated by DAG, which is not part of the network"
EGF,PLCg,positive,BS,positive,indirect,2,,causal effect mediated by EGFR
EGFR,PLCg,positive,BS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
HER2,PLCg,positive,BS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER3,PLCg,positive,BS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
PLCg,PLCg,positive,BS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,mTORC1,positive,BS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
mTORC1,mTORC1,positive,BS,positive,unsupported,,,"mTOR kinase undergoes autophosphorylation, but this does not have a functional effect"
pertuzumab,mTORC1,positive,BS,positive,unsupported,,,this inferred edge is not supported by evidence
AKT,S6K,positive,BS,positive,indirect,2,,this causal effect is mediated by mTORC1
ERK,S6K,positive,BS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
mTORC1,S6K,positive,BS,positive,direct,1,regulates,mTORC1 phosphorylates S6K
S6K,S6K,positive,BS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,AKT,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,AKT,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, others"
PDK1_pm,AKT,positive,HS,positive,direct,1,regulates,membrane-associated PDK1 directly phosphorylates AKT
mTORC1,AKT,positive,HS,positive,unsupported,,,a positive effect is not supported by evidence; there is a negative feedback effect
S6K,AKT,positive,HS,positive,unsupported,,,a positive interaction is not supported by evidence; there is a negative feedback effect
EGF,EGFR,positive,HS,positive,direct,1,regulates,ligand-receptor binding
EGFR,EGFR,positive,HS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
PLCg,EGFR,positive,HS,positive,unsupported,,,"not supported by evidence, there is an indirect negative effect instead"
erlotinib,EGFR,negative,HS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
pertuzumab,EGFR,negative,HS,negative,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization
EGFR,HER2,positive,HS,positive,direct,1,regulates,protein-protein interaction; heterodimerization activates HER2
HER2,HER2,positive,HS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
PDK1_pm,HER2,positive,HS,positive,correlation,3,,This proteomics-inferred edge is consistent with observed co-activation of PDK1 and HER2
erlotinib,HER2,negative,HS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
pertuzumab,HER2,negative,HS,negative,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2
trastuzumab,HER2,negative,HS,negative,direct,1,,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
HER3,HER3,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
ERK,HER3,positive,HS,positive,unsupported,,,there is no evidence for a positive relationship; a negative feedback effect is known
NRG1,HER3,positive,HS,positive,direct,1,regulates,ligand-receptor binding
erlotinib,HER3,negative,HS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
pertuzumab,HER3,negative,HS,negative,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node"
ERK,ERK,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
MEK,ERK,positive,HS,positive,direct,1,regulates,MEK1/2 directly binds and phosphorylates ERK1/2
EGFR,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER3,MEK,positive,HS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
MEK,MEK,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
PDK1_pm,MEK,positive,HS,positive,direct,1,regulates,PDK1 phosphorylates MEK1 and MEK2
EGFR,PDK1_pm,positive,HS,positive,direct,1,regulates,"causal effect mediated by PI3K, PIP3"
HER2,PDK1_pm,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PDK1_pm,positive,HS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
PDK1_pm,PDK1_pm,positive,HS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PKCa,PKCa,positive,HS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PLCg,PKCa,positive,HS,positive,direct in the network sense,1,,"mediated by DAG, which is not part of the network"
trastuzumab,PKCa,positive,HS,positive,unsupported,,,this inferred edge is not supported by experimental evidence
EGFR,PLCg,positive,HS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
HER2,PLCg,positive,HS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER3,PLCg,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
PLCg,PLCg,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,mTORC1,positive,HS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
mTORC1,mTORC1,positive,HS,positive,unsupported,,,"This inferred edge is not supported by evidence. mTOR kinase undergoes autophosphorylation, but this does not have a functional effect."
AKT,S6K,positive,HS,positive,indirect,2,,this causal effect is mediated by mTORC1
ERK,S6K,positive,HS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
erlotinib,S6K,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
mTORC1,S6K,positive,HS,positive,direct,1,regulates,mTORC1 phosphorylates S6K
S6K,S6K,positive,HS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,AKT,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
HER3,AKT,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, others"
PDK1_pm,AKT,positive,SS,positive,direct,1,regulates,membrane-associated PDK1 directly phosphorylates AKT
mTORC1,AKT,positive,SS,positive,unsupported,,,a positive effect is not supported by evidence; there is a negative feedback effect
EGF,EGFR,positive,SS,positive,direct,1,regulates,ligand-receptor binding
EGFR,EGFR,positive,SS,positive,direct,1,regulates,EGFR homodimers phosphorylate each other
PLCg,EGFR,positive,SS,positive,unsupported,,,"not supported by evidence, there is an indirect negative effect instead"
erlotinib,EGFR,negative,SS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of EGFR
pertuzumab,EGFR,negative,SS,negative,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
HER2,HER2,positive,SS,positive,direct,1,regulates,homodimerization of HER2 receptors leads to their trans-phosphorylation and activation
erlotinib,HER2,negative,SS,negative,direct,1,regulates,erlotinib is a small molecule that binds the intracellular kinase domain of HER2
pertuzumab,HER2,negative,SS,negative,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2
trastuzumab,HER2,negative,SS,negative,direct,1,,trastuzumab is a monoclonal antibody binds the extracellular domain IV of HER2
HER3,HER3,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
NRG1,HER3,positive,SS,positive,direct,1,regulates,ligand-receptor binding
erlotinib,HER3,negative,SS,negative,indirect,2,,indirect causal effect mediated by HER2 or another kinase
pertuzumab,HER3,negative,SS,negative,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node"
HER3,ERK,positive,SS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF, MEK"
ERK,ERK,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
MEK,ERK,positive,SS,positive,direct,1,regulates,MEK1/2 directly binds and phosphorylates ERK1/2
PDK1_pm,ERK,positive,SS,positive,indirect,2,,causal effect mediated by MEK
EGFR,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER2,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by RAS, RAF"
HER3,MEK,positive,SS,positive,indirect,2,,"causal effect mediated by HER2HER3c, RAS, RAF"
MEK,MEK,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
EGFR,PDK1_pm,positive,SS,positive,direct,1,regulates,"causal effect mediated by PI3K, PIP3"
HER2,PDK1_pm,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,PDK1_pm,positive,SS,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
PDK1_pm,PDK1_pm,positive,SS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PKCa,PKCa,positive,SS,positive,unsupported,,,This inferred self-regulation is not supported by evidence
PLCg,PKCa,positive,SS,positive,direct in the network sense,1,,"mediated by DAG, which is not part of the network"
EGFR,PLCg,positive,SS,positive,direct,1,regulates,EGFR recruits PLCgamma1 and phosphorylates it
HER2,PLCg,positive,SS,positive,direct,1,regulates,Activated HER2 binds to PLCgamma1 and phosphorylates it.
HER3,PLCg,positive,SS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
PLCg,PLCg,positive,SS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,mTORC1,positive,SS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
mTORC1,mTORC1,positive,SS,positive,unsupported,,,"This inferred edge is not supported by evidence. mTOR kinase undergoes autophosphorylation, but this does not have a functional effect."
AKT,S6K,positive,SS,positive,indirect,2,,this causal effect is mediated by mTORC1
ERK,S6K,positive,SS,positive,direct,1,regulates,"ERK phosphorylates S6K, contributing to its activation"
mTORC1,S6K,positive,SS,positive,direct,1,regulates,mTORC1 phosphorylates S6K
S6K,S6K,positive,SS,positive,unsupported,,,This inferred edge is not supported by experimental evidence
AKT,AKT,positive,SL,positive,unsupported,,,AKT functional self-regulation is not supported by experimental evidence
CyclinB1,AKT,negative,SL,negative ,unsupported,,,this inferred edge is not supported by evidence
EGFR,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER2,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, PIP3"
HER3,AKT,positive,SL,positive,indirect,2,,"causal effect mediated by PI3K, others"
PTEN,AKT,negative,SL,negative ,indirect,2,,mediated by PIP3
stimulus,AKT,positive,SL,positive,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
BAX,BAX,positive,SL,positive,direct,1,regulates,"Active BAX oligomerizes, and it also activates additional BAX molecules."
EGFR,BAX,positive,SL,,,,,
CyclinB1,CyclinB1,positive,SL,,,,,
p53,CyclinB1,negative,SL,,,,,
S6K,CyclinB1,positive,SL,,,,,
AKT,CyclinD,positive,SL,positive,indirect,2,,causal effect mediated by GSK3B
CyclinD,CyclinD,positive,SL,positive,unsupported,,,This inferred self-regulation is not supported by experimental evidence.
ERK,CyclinD,positive,SL,positive,indirect,2,,causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription.
GSK3B,CyclinD,negative,SL,negative,direct,1,regulates,"GSK3B directly phosphorylates Cyclin D1 at Thr286, promoting its nuclear export and degradation."
PTEN,CyclinD,positive,SL,,,,,
JUN,CyclinD,positive,SL,,,,,
EGFR,EGFR,positive,SL,,,,,
erlotinib,EGFR,negative,SL,,,,,
pertuzumab,EGFR,negative,SL,pertuzumab,indirect,2,,pertuzumab binds the extracellular domain II of HER2 and inhibits EGFR-HER2 heterodimerization. This is an indirect effect on EGFR.
stimulus,EGFR,positive,SL,positive,correlation,3,,this inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
BAX,HER2,positive,SL,positive,unsupported,,,This inferred edge is not supported by evidence
HER2,HER2,positive,SL,,,,,
erlotinib,HER2,negative,SL,,,,,
pertuzumab,HER2,negative,SL,negative ,direct,1,regulates,pertuzumab is a monoclonal antibody that binds the extracellular domain II of HER2.
stimulus,HER2,positive,SL,positive,correlation,3,,This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
trastuzumab,HER2,negative,SL,,,,,
AKT,HER3,negative,SL,negative ,correlation,3,,This proteomics- inferred edge is supported as an indirect effect via FOXO3
HER3,HER3,positive,SL,,,,,
erlotinib,HER3,negative,SL,,,,,
pertuzumab,HER3,negative,SL,negative,unsupported,,,"pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node."
stimulus,HER3,positive,SL,positive,correlation,3,,This proteomics- inferred edge is consistent with evidence that growth factors in a growth medium lead to AKT activation
CyclinB1,ERK,positive,SL,,,,,
EGFR,ERK,positive,SL,,,,,
ERK,ERK,positive,SL,,,,,
RAF1,ERK,positive,SL,,,,,
AKT,FOXO1FOXO3,negative,SL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
FOXO1FOXO3,FOXO1FOXO3,positive,SL,positive,unsupported,,,This inferred self-regulation is not supported by evidence;  neither FOXO1 nor FOXO3 has functional self regulation.
GSK3B,GSK3B,positive,SL,,,,,
p53,GSK3B,positive,SL,,,,,
HER3,NFKB,positive,SL,,,,,
NFKB,NFKB,positive,SL,,,,,
RPS6,NFKB,positive,SL,,,,,
AKT,PRAS40,negative,SL,,,,,
HER3,PRAS40,positive,SL,,,,,
PRAS40,PRAS40,positive,SL,,,,,
GSK3B,PTEN,negative,SL,,,,,
PTEN,PTEN,positive,SL,,,,,
S6K,PTEN,positive,SL,,,,,
CyclinD,RB,negative,SL,,,,,
HER2,RB,positive,SL,,,,,
RB,RB,positive,SL,,,,,
TSC2,RB,negative,SL,,,,,
p53,RB,negative,SL,,,,,
RPS6,RPS6,positive,SL,,,,,
S6K,RPS6,positive,SL,,,,,
AKT,TSC2,negative,SL,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
HER2,TSC2,positive,SL,,,,,
ERK,TSC2,negative,SL,,,,,
GSK3B,TSC2,negative,SL,,,,,
TSC2,TSC2,positive,SL,,,,,
GSK3B,JUN,negative,SL,,,,,
JUN,JUN,positive,SL,,,,,
EGFR,RAF1,positive,SL,,,,,
HER2,RAF1,positive,SL,positive,indirect,2,,causal effect mediated by adaptor proteins and RAS
ERK,RAF1,negative,SL,,,,,
RPS6,RAF1,positive,SL,,,,,
RAF1,RAF1,positive,SL,,,,,
p53,RAF1,negative,SL,,,,,
AKT,p38,positive,SL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
p38,p38,positive,SL,,,,,
CyclinB1,p53,positive,SL,,,,,
PTEN,p53,positive,SL,,,,,
RB,p53,positive,SL,,,,,
p53,p53,positive,SL,,,,,
HER2,S6K,positive,SL,,,,,
ERK,S6K,positive,SL,,,,,
PRAS40,S6K,negative,SL,,,,,
TSC2,S6K,negative,SL,negative,indirect,2,,"causal effect, mediated by RHEB and mTORC1"
S6K,S6K,positive,SL,,,,,
Ipatasertib,AKT,negative,Z17,negative ,direct,1,regulates,Ipatasertib is a small-molecule AKT inhibitor that directly binds the kinase domain of AKT1/2/3 and inhibits its catalytic activity
